,id,time,CurX,CurY,CurV,CurRoll,CurPitch,CurAccX,CurAccY,CurAccZ,CurGyroX,CurGyroY,CurGyroZ,Pitch,Roll,abnormal_label
121,321,2023-11-8 13:04,17.8732,5.4458,-0.174279,2.67529,-0.213468,-0.1333,-0.006958,0.989501,0.434888,0.40437,0.022888,2.67529,-0.213468,0
122,322,2023-11-8 13:04,17.8732,5.44405,-0.174279,2.77541,-0.215925,-0.128906,-0.005126,0.998291,0.457777,0.442518,-0.030518,2.77541,-0.215925,0
123,323,2023-11-8 13:04,17.8732,5.44212,-0.193522,2.86742,-0.216125,-0.131469,0,0.999023,0.465407,0.457777,-0.076296,2.86742,-0.216125,0
124,324,2023-11-8 13:04,17.8732,5.43999,-0.212214,2.9603,-0.210883,-0.130371,-0.001098,0.998291,0.427259,0.450148,-0.106814,2.9603,-0.210883,0
125,325,2023-11-8 13:04,17.8732,5.43787,-0.212214,3.05012,-0.20753,-0.124877,-0.001831,0.992065,0.373851,0.442518,-0.091555,3.05012,-0.20753,0
126,326,2023-11-8 13:04,17.8732,5.43557,-0.230357,3.13277,-0.205768,4.887830067,4.996606867,5.996154567,0.305185,0.434888,-0.053407,8.922605667,4.7957975,1
127,327,2023-11-8 13:04,17.8732,5.43309,-0.24795,3.2078,-0.206007,4.54300248,4.65177928,5.65132698,0.274666,0.442518,-0.030518,8.57777808,4.450969914,1
128,328,2023-11-8 13:04,17.8732,5.43061,-0.24795,3.27212,-0.209605,4.198174894,4.306951694,5.306499394,0.274666,0.434888,-0.045777,8.232950494,4.106142328,1
129,329,2023-11-8 13:04,17.8732,5.42797,-0.264443,3.34011,-0.209887,3.853347308,3.962124108,4.961671808,0.305185,0.411999,-0.061037,7.888122908,3.761314741,1
130,330,2023-11-8 13:04,17.8732,5.42516,-0.280936,3.40798,-0.21124,3.508519722,3.617296522,4.616844222,0.328073,0.40437,-0.076296,7.543295322,3.416487155,1
131,331,2023-11-8 13:04,17.8732,5.42235,-0.280936,3.46965,-0.211005,3.163692136,3.272468936,4.272016636,0.350962,0.411999,-0.076296,7.198467736,3.071659569,1
132,332,2023-11-8 13:04,17.8732,5.41937,-0.29743,3.52315,-0.208854,2.818864549,2.927641349,3.927189049,0.373851,0.427259,-0.083925,6.853640149,2.726831983,1
133,333,2023-11-8 13:04,17.8732,5.41632,-0.305127,3.5761,-0.207465,2.474036963,2.582813763,3.582361463,0.38911,0.411999,-0.106814,6.508812563,2.382004397,1
